method,seed,mae_prop,rmse_prop,mae_raw,rmse_raw
als_bias_lambda10,20260743,0.0881509251951241,0.114091283650656,3.37569060773481,5.20358992103513
als_bias_lambda20,20260743,0.0887959308953784,0.115649068684811,3.39226519337017,5.19987250162436
paper_mean,20260744,0.0893120231518022,0.119297670829815,3.22651933701658,4.94946841277533
paper_median,20260744,0.0898088222397615,0.118868327381832,3.24309392265193,4.90968149432228
same_subject,20260744,0.069079628168026,0.0897919556532733,2.64088397790055,4.26860568278895
als_bias_lambda1,20260744,0.0904205033763045,0.114914739045772,3.38121546961326,5.08056637552671
als_bias_lambda3,20260744,0.0888845040778742,0.11510079362133,3.34254143646409,5.07131462682004
als_bias_lambda5,20260744,0.0892729983337718,0.114808478015512,3.34254143646409,5.04619543793045
als_bias_lambda10,20260744,0.088448215381917,0.114629790564461,3.30386740331492,5.00165718393768
als_bias_lambda20,20260744,0.0858269753573621,0.112947481756433,3.24861878453039,5.00386590878984
paper_mean,20260745,0.0877918091730247,0.115153541248062,3.59668508287293,5.69142031424232
paper_median,20260745,0.0865855476628958,0.114027141026593,3.58563535911602,5.7291539008731
same_subject,20260745,0.0689344909234412,0.088484466431719,2.86740331491713,4.60662506344266
als_bias_lambda1,20260745,0.0779123914759274,0.105520644873558,3.23204419889503,5.32740231910574
als_bias_lambda3,20260745,0.078585021485574,0.1056962855531,3.21546961325967,5.26533540299926
als_bias_lambda5,20260745,0.0800293782337981,0.107389353518739,3.24309392265193,5.27738843835488
als_bias_lambda10,20260745,0.0799399280890994,0.107041459127664,3.25966850828729,5.25798524529872
als_bias_lambda20,20260745,0.0814105937034114,0.109428473854716,3.33149171270718,5.33672774117487
paper_mean,20260746,0.0909721126019469,0.115368469163926,3.53591160220994,5.51842719205691
paper_median,20260746,0.0906200122774708,0.11495323415279,3.50276243093923,5.40308894668095
same_subject,20260746,0.0715934403227221,0.0923976907470156,3.11602209944751,5.23059423221678
als_bias_lambda1,20260746,0.0891541699552749,0.112771318250848,3.5524861878453,5.65441205525453
als_bias_lambda3,20260746,0.088176357099009,0.111564213605409,3.51381215469613,5.57321931029661
als_bias_lambda5,20260746,0.0874782951854775,0.110703146162287,3.46408839779006,5.46662399480269
als_bias_lambda10,20260746,0.0860848022450232,0.109979292157011,3.41988950276243,5.42502896089222
als_bias_lambda20,20260746,0.087008681925809,0.111660707745838,3.44198895027624,5.48780667475154
paper_mean,20260747,0.0824142769446637,0.106905030950177,3.0828729281768,4.81250672669401
paper_median,20260747,0.0812571253178988,0.10603646468576,3.04419889502762,4.7854521715495
same_subject,20260747,0.0722594931158467,0.0939299662864332,2.7292817679558,4.40491939961755
als_bias_lambda1,20260747,0.0815557309479961,0.101558934750782,3.01104972375691,4.58136991261818
als_bias_lambda3,20260747,0.0787656756993774,0.0992330152708492,2.95027624309392,4.55536839514321
als_bias_lambda5,20260747,0.0785284574234851,0.0992672415070093,2.93370165745856,4.52677729816503
als_bias_lambda10,20260747,0.0790704200648952,0.100597566385646,2.98342541436464,4.63472361456705
als_bias_lambda20,20260747,0.0800074541787249,0.102598264969378,2.98895027624309,4.65078856261426
paper_mean,20260748,0.0869516793826186,0.110708344686026,3.4475138121547,5.24220020443949
paper_median,20260748,0.0870959396650004,0.110878094855599,3.45303867403315,5.25115088674465
same_subject,20260748,0.0641743400859423,0.0863184922980926,2.77348066298343,4.67507792353884
als_bias_lambda1,20260748,0.0819779882487065,0.105755987016499,3.23204419889503,5.20783515112815
als_bias_lambda3,20260748,0.0803915636236078,0.10455146812884,3.23204419889503,5.15880409285992
als_bias_lambda5,20260748,0.0817223537665527,0.104794791329789,3.29281767955801,5.1571974058468
als_bias_lambda10,20260748,0.0814974129615014,0.104592337603514,3.31491712707182,5.14969290507449
als_bias_lambda20,20260748,0.0814504954836447,0.105125545802471,3.30386740331492,5.14539970474082
paper_mean,20260749,0.0944383057090239,0.122206173899212,3.59116022099448,5.39695023353045
paper_median,20260749,0.0942326580724371,0.12244311887036,3.56906077348066,5.38157281534412
same_subject,20260749,0.0675629220380602,0.0871458306169735,2.83977900552486,4.69512501378053
als_bias_lambda1,20260749,0.0902758046128212,0.117966193295576,3.60220994475138,5.71418705518619
als_bias_lambda3,20260749,0.0903863018503903,0.117871234826795,3.59116022099448,5.64120593666722
als_bias_lambda5,20260749,0.0924256774533018,0.119830667421928,3.61878453038674,5.60830087228147
als_bias_lambda10,20260749,0.0910891870560379,0.119238938318932,3.59116022099448,5.57321931029661
als_bias_lambda20,20260749,0.0925545908971323,0.120086588497722,3.61325966850829,5.50740335482223
paper_mean,20260750,0.0941607471717969,0.117118646235963,3.67955801104972,5.40513363509726
paper_median,20260750,0.0937463825309129,0.116574826296682,3.66298342541436,5.37489560479373
same_subject,20260750,0.0760532316057178,0.0963541337177972,3.1767955801105,5.02864721547252
als_bias_lambda1,20260750,0.0879715864246251,0.112636665054457,3.55801104972376,5.60090758233488
als_bias_lambda3,20260750,0.0885837060422696,0.112101719108094,3.56353591160221,5.54489462060292
als_bias_lambda5,20260750,0.0871507498026835,0.110841565537761,3.48066298342541,5.43367848500931
als_bias_lambda10,20260750,0.0870735771288258,0.110834088584236,3.47513812154696,5.3892670090679
als_bias_lambda20,20260750,0.090513461369815,0.11314135782652,3.53591160220994,5.37438162959726
paper_mean,20260751,0.0824989037972463,0.105200773911666,3.16574585635359,4.99225920137383
paper_median,20260751,0.0834087520827852,0.105652744820976,3.1878453038674,4.99225920137383
same_subject,20260751,0.0734192756292204,0.0960177759499053,2.86187845303867,4.88994910095645
als_bias_lambda1,20260751,0.0799087959308954,0.102114377623787,3.15469613259669,5.03962201511667
als_bias_lambda3,20260751,0.0800999736911339,0.102139504768654,3.15469613259669,4.97118770338844
